,zpid_of_the_house,place name,category
548,25543994,Hummingbird Park,park
549,25543994,Brookline Park,park
550,25543994,James Dilley Greenbelt Preserve,park
552,25543994,Canyon View Park,park
553,25543994,Ridgecrest Park,park
554,25543994,Wingspan Park,park
555,25543994,Glenwood Park,park
556,25543994,Stater Bros.,grocery store
557,25543994,Aliso Viejo,park
558,25761649,Aliso and Wood Canyons Wilderness Park,park
560,25761649,Trader Joe's,grocery store
561,25761649,Laguna Hills High School,school
562,25761649,Brookline Park,park
563,25761649,Creekside Park,park
564,25761649,Sheep Hills Park,park
565,25761649,Woodfield Park,park
566,25761649,Crestview Park,park
567,25761649,Aliso Viejo Middle School,school
568,25761649,Aliso Viejo Community Park,park
569,25761649,Aliso Viejo Ranch,park
570,25761649,Springdale Park,park
571,25761649,Iglesia Park,park
572,25761649,Glenbrook Park,park
573,25761649,Argonaut Park,park
574,25761649,Pinewood Park,park
575,25761649,Ridgecrest Park,park
576,25761649,Wingspan Park,park
577,25761649,Laguna Hills Community Center & Sports Complex,park
578,25761649,Aliso Creek Park and Wildlife Sanctuary,park
579,25667213,Aliso Niguel High School,school
580,25667213,Walmart Supercenter,grocery store
581,25667213,Aliso and Wood Canyons Wilderness Park,park
583,25667213,Journey School,school
584,25667213,Trader Joe's,grocery store
585,25667213,Costco,grocery store
586,25667213,Stater Bros.,grocery store
587,25667213,Pavilions,grocery store
588,25667213,Laguna Niguel Regional Park,park
589,25667213,Woodfield Park,park
590,25667213,Grand Park,park
591,25667213,Ralphs,grocery store
592,25667213,Aliso Viejo Middle School,school
593,25667213,Aliso Viejo Community Park,park
594,25667213,Aliso Viejo Ranch,park
595,25667213,Springdale Park,park
596,25667213,Foxborough Park,park
597,25667213,Hillview Park,park
598,25667213,Oak Park,park
599,25667213,Aliso Canyon Community Park,park
600,25546453,ALDI,grocery store
601,25546453,Aliso and Wood Canyons Wilderness Park,park
603,25546453,Laguna Hills High School,school
604,25546453,Brookline Park,park
605,25546453,Creekside Park,park
606,25546453,Sheep Hills Park,park
607,25546453,Crestview Park,park
608,25546453,Iglesia Park,park
609,25546453,Glenbrook Park,park
610,25546453,Argonaut Park,park
611,25546453,Pinewood Park,park
612,25546453,Ridgecrest Park,park
613,25546453,Wingspan Park,park
614,25546453,Laguna Hills Community Center & Sports Complex,park
615,25546453,Aliso Creek Park and Wildlife Sanctuary,park
616,25546453,Stockport Park,park
617,25546453,Glenwood Park,park
618,25546453,Aliso Creek Open Space,park
619,25546453,Aliso Viejo,park
621,25710140,ALDI,grocery store
622,25710140,Aliso and Wood Canyons Wilderness Park,park
624,25710140,Laguna Hills High School,school
625,25710140,Mother's Market,grocery store
626,25710140,Brookline Park,park
627,25710140,Creekside Park,park
628,25710140,Sheep Hills Park,park
629,25710140,Crestview Park,park
630,25710140,Iglesia Park,park
631,25710140,Glenbrook Park,park
632,25710140,Argonaut Park,park
633,25710140,Pinewood Park,park
634,25710140,Ridgecrest Park,park
635,25710140,Wingspan Park,park
636,25710140,Aliso Creek Park and Wildlife Sanctuary,park
637,25710140,Glenwood Park,park
638,25710140,Aliso Creek Open Space,park
639,25710140,Stater Bros.,grocery store
640,25710140,Aliso Viejo,park
642,25774457,Aliso Niguel High School,school
643,25774457,Walmart Supercenter,grocery store
644,25774457,Aliso and Wood Canyons Wilderness Park,park
646,25774457,Journey School,school
647,25774457,Trader Joe's,grocery store
648,25774457,Costco,grocery store
649,25774457,Stater Bros.,grocery store
650,25774457,Laguna Niguel Elementary School,school
651,25774457,Pavilions,grocery store
652,25774457,Niguel Heights Park,park
653,25774457,Creekside Park,park
654,25774457,Woodfield Park,park
655,25774457,Ralphs,grocery store
656,25774457,Aliso Viejo Middle School,school
657,25774457,Aliso Viejo Community Park,park
658,25774457,Aliso Viejo Ranch,park
659,25774457,Springdale Park,park
660,25774457,Foxborough Park,park
661,25774457,Hillview Park,park
662,25774457,Briosa Park,park
663,25773130,Aliso Niguel High School,school
664,25773130,Walmart Supercenter,grocery store
665,25773130,Aliso and Wood Canyons Wilderness Park,park
667,25773130,Journey School,school
668,25773130,Trader Joe's,grocery store
669,25773130,Costco,grocery store
670,25773130,Stater Bros.,grocery store
671,25773130,Pavilions,grocery store
672,25773130,Creekside Park,park
673,25773130,Woodfield Park,park
674,25773130,Crestview Park,park
675,25773130,Grand Park,park
676,25773130,Ralphs,grocery store
677,25773130,Aliso Viejo Middle School,school
678,25773130,Aliso Viejo Community Park,park
679,25773130,Aliso Viejo Ranch,park
680,25773130,Springdale Park,park
681,25773130,Foxborough Park,park
682,25773130,Hillview Park,park
683,25773130,Mandeville Park,park
684,25745930,Aliso and Wood Canyons Wilderness Park,park
686,25745930,Laguna Coast Wilderness Park,park
688,25745930,Hummingbird Park,park
689,25745930,James Dilley Greenbelt Preserve,park
691,25745930,Ridgecrest Park,park
692,25745930,Wingspan Park,park
693,25745930,Stater Bros.,grocery store
694,25710161,ALDI,grocery store
695,25710161,Aliso and Wood Canyons Wilderness Park,park
697,25710161,Laguna Hills High School,school
698,25710161,Brookline Park,park
699,25710161,Creekside Park,park
700,25710161,Sheep Hills Park,park
701,25710161,Crestview Park,park
702,25710161,Iglesia Park,park
703,25710161,Glenbrook Park,park
704,25710161,Argonaut Park,park
705,25710161,Pinewood Park,park
706,25710161,Ridgecrest Park,park
707,25710161,Wingspan Park,park
708,25710161,Aliso Creek Park and Wildlife Sanctuary,park
709,25710161,Glenwood Park,park
710,25710161,Aliso Viejo,park
715,25548977,Aliso and Wood Canyons Wilderness Park,park
717,25548977,Trader Joe's,grocery store
718,25548977,Grand Park,park
719,25548977,Ralphs,grocery store
720,25548977,Canyon View Park,park
721,25548977,Oak Park,park
722,25548977,Westridge Park,park
723,25548977,Acorn Park,park
724,25548977,Don Juan Avila Elementary School,school
725,25548977,Vantis,park
726,25549812,Aliso Niguel High School,school
727,25549812,Aliso and Wood Canyons Wilderness Park,park
729,25549812,Journey School,school
730,25549812,Trader Joe's,grocery store
731,25549812,Woodfield Park,park
732,25549812,Grand Park,park
733,25549812,Ralphs,grocery store
734,25549812,Springdale Park,park
735,25549812,Foxborough Park,park
736,25549812,Canyon View Park,park
737,25549812,Oak Park,park
738,25549812,Westridge Park,park
739,25549812,Acorn Park,park
740,25549812,Don Juan Avila Elementary School,school
741,25549812,Vantis,park
742,25762274,Aliso and Wood Canyons Wilderness Park,park
744,25762274,Journey School,school
745,25762274,Trader Joe's,grocery store
746,25762274,Brookline Park,park
747,25762274,Creekside Park,park
748,25762274,Sheep Hills Park,park
749,25762274,Woodfield Park,park
750,25762274,Crestview Park,park
751,25762274,Grand Park,park
752,25762274,Ralphs,grocery store
753,25762274,Aliso Viejo Middle School,school
754,25762274,Aliso Viejo Community Park,park
755,25762274,Aliso Viejo Ranch,park
756,25762274,Springdale Park,park
757,25762274,Glenbrook Park,park
758,25762274,Argonaut Park,park
759,25762274,Pinewood Park,park
760,25762274,Ridgecrest Park,park
761,25762274,Wingspan Park,park
762,25762274,Acorn Park,park
763,25675717,Aliso Niguel High School,school
764,25675717,Walmart Supercenter,grocery store
765,25675717,Aliso and Wood Canyons Wilderness Park,park
767,25675717,Journey School,school
768,25675717,Costco,grocery store
769,25675717,Whole Foods Market,grocery store
770,25675717,Laguna Niguel Elementary School,school
771,25675717,Pavilions,grocery store
772,25675717,Niguel Heights Park,park
773,25675717,Laguna Niguel Regional Park,park
774,25675717,Foxborough Park,park
775,25675717,Hillview Park,park
776,25675717,Oak Park,park
777,25675717,Aliso Canyon Community Park,park
778,25675717,Ridge View Park,park
779,25675717,Yosemite Park,park
780,25675717,Kite Hill Park,park
782,25675717,St. Mary's Catholic School,school
784,25675717,,park
786,25762260,Aliso and Wood Canyons Wilderness Park,park
788,25762260,Journey School,school
789,25762260,Trader Joe's,grocery store
790,25762260,Laguna Hills High School,school
791,25762260,Brookline Park,park
792,25762260,Creekside Park,park
793,25762260,Sheep Hills Park,park
794,25762260,Woodfield Park,park
795,25762260,Crestview Park,park
796,25762260,Grand Park,park
797,25762260,Ralphs,grocery store
798,25762260,Aliso Viejo Middle School,school
799,25762260,Aliso Viejo Community Park,park
800,25762260,Aliso Viejo Ranch,park
801,25762260,Springdale Park,park
802,25762260,Glenbrook Park,park
803,25762260,Argonaut Park,park
804,25762260,Pinewood Park,park
805,25762260,Ridgecrest Park,park
806,25762260,Wingspan Park,park
807,25548551,Aliso and Wood Canyons Wilderness Park,park
809,25548551,Laguna Coast Wilderness Park,park
811,25548551,Hummingbird Park,park
812,25548551,Brookline Park,park
813,25548551,Grand Park,park
814,25548551,Canyon View Park,park
815,25548551,Argonaut Park,park
816,25548551,Ridgecrest Park,park
817,25548551,Wingspan Park,park
818,25548551,Acorn Park,park
819,25548551,Don Juan Avila Elementary School,school
820,25548551,Vantis,park
821,25548551,Aliso Viejo,park
823,25549147,Aliso and Wood Canyons Wilderness Park,park
825,25549147,Laguna Coast Wilderness Park,park
827,25549147,Hummingbird Park,park
828,25549147,James Dilley Greenbelt Preserve,park
830,25549147,Canyon View Park,park
831,25549147,Ridgecrest Park,park
832,25549147,Wingspan Park,park
833,25549147,Acorn Park,park
834,25549147,Don Juan Avila Elementary School,school
835,25664404,Aliso Niguel High School,school
836,25664404,Walmart Supercenter,grocery store
837,25664404,Aliso and Wood Canyons Wilderness Park,park
839,25664404,Journey School,school
840,25664404,Trader Joe's,grocery store
841,25664404,Costco,grocery store
842,25664404,Whole Foods Market,grocery store
843,25664404,Pavilions,grocery store
844,25664404,Laguna Niguel Regional Park,park
845,25664404,Woodfield Park,park
846,25664404,Grand Park,park
847,25664404,Ralphs,grocery store
848,25664404,Springdale Park,park
849,25664404,Foxborough Park,park
850,25664404,Hillview Park,park
851,25664404,Oak Park,park
852,25664404,Westridge Park,park
853,25664404,Aliso Canyon Community Park,park
855,25664404,St. Mary's Catholic School,school
857,25745223,Aliso and Wood Canyons Wilderness Park,park
859,25745223,Trader Joe's,grocery store
860,25745223,Brookline Park,park
861,25745223,Grand Park,park
862,25745223,Ralphs,grocery store
863,25745223,Canyon View Park,park
864,25745223,Westridge Park,park
865,25745223,Argonaut Park,park
866,25745223,Ridgecrest Park,park
867,25745223,Wingspan Park,park
868,25745223,Acorn Park,park
869,25745223,Don Juan Avila Elementary School,school
870,25745223,Vantis,park
871,25745223,Aliso Viejo,park
