zpid,grocery store count,park count,school count
25541597,2,0,2
25541621,1,0,3
25542140,0,1,0
25542243,0,1,0
25542288,0,1,0
25542306,0,1,0
25542327,0,1,0
25542498,0,1,0
25542535,0,1,0
25542550,0,1,0
25542782,0,2,2
25543050,0,1,0
25543373,0,1,0
25543994,0,1,0
25544649,0,1,1
25545154,0,1,1
25545564,1,0,3
25545664,1,1,4
25545742,1,2,3
25546269,0,2,3
25546345,1,1,4
25546370,1,1,4
25546425,1,1,2
25546444,0,1,2
25546453,0,1,1
25546664,1,1,3
25546690,1,1,3
25546706,1,1,3
25546724,1,2,3
25546762,1,1,3
25547151,1,0,0
25547303,1,2,1
25547368,0,0,5
25547390,0,0,4
25547576,1,0,6
25547703,1,0,2
25547782,0,0,1
25547801,0,0,1
25547825,1,0,2
25548541,0,1,1
25548551,0,1,1
25548977,2,1,1
25549147,0,1,1
25549546,2,1,1
25549637,0,1,1
25549812,2,1,2
25549944,0,1,0
25550138,2,1,2
25550426,0,2,1
25550800,3,2,2
25551032,2,2,2
25551237,1,0,1
25551285,0,0,1
25551458,2,2,2
25551681,1,0,2
25552029,2,2,3
25552350,2,1,2
25552565,1,1,3
25552652,2,2,2
25552729,2,2,2
25553123,1,2,3
25553177,1,1,3
25553187,1,0,3
25553299,1,1,4
25553313,1,0,4
25553341,1,0,3
25553342,1,0,3
25553409,0,1,4
25553755,1,0,4
25554066,1,0,3
25554373,1,0,4
25554810,1,1,3
25554814,1,1,3
25554829,1,1,3
25555003,1,1,4
25555584,2,1,3
25555716,0,1,2
25555822,0,1,2
25556512,2,2,2
25556550,2,1,3
25557524,2,2,2
25558280,1,1,1
25559026,0,1,3
25559161,1,1,3
25559171,1,1,3
25559265,0,1,2
25559843,0,2,0
25559889,0,1,0
25560046,0,1,0
25560065,0,1,0
25560071,0,2,0
25560553,0,1,0
25560742,0,1,0
25561187,1,0,0
25561887,1,0,2
25562249,1,1,1
25562283,0,0,1
25562700,0,1,1
25562718,0,0,2
25562758,0,0,2
25563052,1,0,3
25563229,0,0,2
25563514,0,0,1
25563630,0,1,0
25563661,0,1,0
25564083,0,1,0
25564108,0,1,1
25564109,0,1,1
25564159,0,0,1
25564204,0,0,1
25564271,0,1,0
25564319,0,1,0
25564348,0,1,0
25564370,0,1,0
25564529,0,1,0
25565354,2,0,2
25566550,1,0,3
25566680,1,2,3
25566835,1,1,3
25567131,1,0,2
25567261,1,1,2
25567269,1,1,2
25567650,1,0,2
25567728,1,0,2
25568375,1,2,2
25568563,2,2,2
25568669,2,2,2
25568695,2,2,3
25568737,2,2,2
25568770,1,1,2
25568872,1,3,2
25569192,1,3,2
25569331,1,3,2
25570673,0,1,4
25571168,1,2,4
25571587,1,3,1
25571605,1,3,1
25571697,1,3,1
25571760,1,3,1
25571764,1,3,1
25571923,2,3,1
25571933,2,3,1
25571936,2,3,1
25572178,1,3,1
25572210,1,3,1
25572256,1,3,1
25572419,1,2,1
25572607,0,2,0
25572866,0,2,0
25573294,0,2,0
25573689,0,2,0
25574234,1,2,1
25574551,0,2,0
25574557,0,2,0
25574591,0,2,0
25574633,0,2,0
25574634,0,2,0
25574741,0,2,0
25574765,0,2,0
25574771,0,2,0
25574795,0,2,0
25574830,0,2,0
25575300,0,2,1
25575502,0,2,0
25575622,0,2,0
25575701,1,2,1
25575922,0,1,1
25576082,0,1,0
25576138,0,2,1
25577338,1,0,0
25577358,1,0,0
25577414,1,0,0
25577425,1,0,0
25577782,0,1,0
25577893,0,1,0
25578013,1,0,0
25578022,1,0,0
25578098,1,0,0
25578217,1,0,0
25578843,1,0,0
25579089,2,0,0
25579148,1,0,0
25579189,3,0,0
25579371,2,0,0
25579416,2,0,0
25579463,2,0,0
25579531,2,0,0
25579587,2,0,0
25579600,2,0,0
25579614,2,0,0
25579814,2,0,0
25579989,3,0,0
25580183,2,0,0
25580286,0,3,1
25580822,0,3,1
25580873,0,3,0
25580944,0,2,1
25581039,1,2,1
25581078,1,2,1
25581119,1,2,1
25581613,1,2,1
25581772,0,1,1
25581784,0,1,1
25581808,0,1,1
25581850,1,2,1
25582072,1,2,1
25582172,2,1,1
25582478,1,2,1
25582564,2,1,2
25582596,2,1,2
25582924,2,1,2
25583104,1,2,1
25583183,0,2,1
25583402,2,0,1
25583439,2,0,1
25583547,3,0,1
25583550,3,0,1
25583578,3,0,1
25584183,2,1,2
25584190,2,1,2
25584219,2,1,2
25584235,2,1,2
25584676,3,0,1
25584699,1,2,1
25584728,1,2,1
25585308,2,0,2
25585534,2,0,2
25585827,3,0,1
25586451,2,0,1
25586501,2,0,1
25586830,1,0,0
25586890,1,0,0
25586938,3,0,0
25587005,3,1,0
25587205,3,1,0
25587327,3,1,0
25587573,3,0,0
25587717,3,0,0
25587782,3,0,0
25587797,3,0,0
25587858,3,0,0
25588135,1,0,0
25588988,2,0,0
25589028,3,0,0
25589215,1,0,1
25589243,0,0,1
25589289,0,0,1
25589307,1,0,1
25589529,2,0,1
25589569,2,0,1
25589835,2,0,0
25591381,1,2,1
25592203,3,1,1
25592265,3,1,0
25592309,3,1,1
25592398,3,1,1
25593024,2,2,1
25593038,2,2,1
25593072,2,1,1
25593342,1,0,1
25593467,1,0,2
25593492,1,0,2
25593557,1,0,1
25593909,1,0,0
25593976,2,0,1
25593981,2,0,0
25594524,0,0,1
25594786,1,0,0
25594973,1,0,0
25595101,1,0,2
25595171,1,0,2
25595172,1,0,2
25595220,1,0,2
25595262,2,0,2
25595265,2,0,2
25595332,1,0,0
25595372,1,0,0
25595383,1,0,0
25595394,1,0,0
25595452,1,0,0
25595875,1,0,1
25596465,0,0,1
25596729,3,1,0
25596798,3,1,0
25596901,3,1,0
25597230,3,1,0
25597331,3,1,0
25597659,3,1,0
25597844,3,1,1
25600802,1,0,0
25601424,1,0,2
25602473,1,1,2
25602875,0,1,1
25603259,0,1,1
25603317,0,1,2
25603628,0,1,2
25606217,0,0,2
25606854,0,1,2
25606855,0,1,2
25606959,0,1,2
25607031,0,0,2
25607349,2,1,2
25607799,1,1,2
25608105,1,1,2
25608302,1,1,2
25608401,1,1,2
25608798,2,1,3
25608859,1,1,3
25608923,1,2,3
25609159,2,1,5
25612457,0,1,6
25613140,1,0,0
25613321,1,1,0
25613335,1,1,0
25613362,1,1,0
25613445,1,1,0
25613509,1,1,0
25613708,1,0,0
25613933,1,0,0
25613977,1,0,0
25613991,1,0,0
25614051,1,0,0
25614309,1,0,0
25615410,1,0,0
25615523,1,0,0
25615569,1,0,0
25615827,2,1,1
25615883,1,1,1
25616314,2,1,3
25616392,2,1,2
25616570,2,1,3
25616618,2,1,2
25616662,2,1,2
25620329,1,0,0
25620342,1,0,0
25621995,1,1,1
25622208,1,1,0
25623462,0,1,2
25623551,0,1,2
